time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss
39581,204,4,8097,275.79,376.42481540999995,789600,0.003,749692.1546875,62.98441047668457,-0.4426976919174194,-29004.442578125
40581,205,4,8302,283.76,383.87257360999996,809600,0.003,424051.5546875,57.70735607147217,-0.029432644695043565,-24681.4802734375
40715,206,4,8329,279.23,377.71275588000003,812280,0.003,508507.83125,50.869561958312985,-0.06110806092619896,-23948.9453125
41192,207,4,8427,283.45,384.2237862900001,821820,0.003,308562.07421875,45.23316993713379,0.2900775697082281,-20512.20712890625
41588,208,4,8508,285.53,385.26378134000004,829740,0.003,350863.9671875,52.215711784362796,0.6719942145049572,-18485.86083984375
41635,209,4,8518,284.54,383.50989852000004,830680,0.003,325675.259375,49.91467456817627,-0.19272549599409103,-18436.08359375
42228,210,4,8639,289.26,392.36371902999997,842540,0.003,393288.0546875,62.61438179016113,0.6024731442332267,-18464.5080078125
42333,211,4,8661,287.25,389.16684678999997,844640,0.003,380090.89609375,57.50617656707764,-0.12241514772176743,-19011.03095703125
42479,212,4,8691,282.77,382.61317024999994,847560,0.003,362081.575,48.4908805847168,0.20242889150977134,-19065.9435546875
43479,213,4,8896,291.56,390.79873193,867560,0.003,277808.6796875,50.45730686187744,0.18374994099140168,-18563.3333984375
44479,214,4,9102,300.96,402.27184294000006,887560,0.003,383541.215625,46.47720851898193,0.1819975633174181,-19652.17470703125
45479,215,4,9307,309.43,410.29352465999995,907560,0.003,848358.778125,84.12265510559082,0.20634839683771133,-28819.73271484375
46479,216,4,9511,318.55,416.68863210999996,927560,0.003,390034.9921875,38.18182735443115,0.43725192695856097,-24729.7337890625
47123,217,4,9643,322.9,419.4518062199999,940440,0.003,370799.31796875,44.75177116394043,0.48468566313385963,-18576.75458984375
47160,218,4,9650,322.44,417.8652125599999,941180,0.003,398112.5359375,56.326905250549316,-0.03553190156817436,-18888.647265625
47204,219,4,9659,322.21,416.62106036000006,942060,0.003,444668.99375,63.99195156097412,-0.11061852164566517,-19398.9974609375
47253,220,4,9669,321.62,414.51869006,943040,0.003,548002.3859375,57.525668907165525,0.2677486099302769,-19922.9396484375
47333,221,4,9686,320.87,412.2926605999999,944640,0.003,591013.871875,57.257560920715335,0.1892302356660366,-20300.78212890625
47720,222,4,9765,320.42,412.87452767,952380,0.003,1728275.0,124.14380683898926,0.4606552392244339,-35220.940625
48456,223,4,9916,325.94,418.17913613,967100,0.003,479442.5484375,51.61040992736817,0.4667396403849125,-29712.68369140625
49456,224,4,10120,334.37,426.64124802999993,987100,0.003,241441.16015625,40.47784061431885,0.38146939054131507,-19720.60244140625
50456,225,4,10325,336.05,429.18377217999995,1007100,0.003,262558.41953125,37.0522045135498,-0.03548481203615665,-16161.16640625
50501,226,4,10334,335.98,429.10215815,1008000,0.003,269186.13515625,34.654280281066896,-0.09929376766085625,-16066.94013671875
51501,227,4,10541,345.16,437.4766702499999,1028000,0.003,127739.896875,20.28416500091553,0.22572877183556556,-11171.806640625
51983,228,4,10640,348.96,441.09430652,1037640,0.003,136949.794140625,24.81202096939087,0.29177474677562715,-12534.287548828124
52983,229,4,10844,357.83,451.16487806999993,1057640,0.003,84086.078515625,17.93995656967163,0.7787928186357022,-9707.773681640625
53213,230,4,10891,359.35,452.81732141,1062240,0.003,65423.521875,16.05626344680786,0.21175340563058853,-8861.77900390625
54213,231,4,11097,368.25,464.21189629,1082240,0.003,39096.76064453125,11.44445276260376,-0.1216274967417121,-6306.110131835938
55213,232,4,11301,377.93,474.71251583,1102240,0.003,24394.287548828124,8.39333143234253,0.3369003850966692,-4001.3004516601563
56213,233,4,11506,386.31,480.27352236999997,1122240,0.003,35823.87099609375,9.497495079040528,-0.14887761250138282,-5071.935717773437
56921,234,4,11651,392.76,486.6306084699999,1136400,0.003,43667.4126953125,18.92492437362671,-0.3714006021618843,-5162.56728515625
